ID,FORM,XPOSTAG,NER
59,idigna-da,NE,WN
60,mu,N,O
60,us2-sa,V,O
60,akszak{ki},NE,GN
60,ba-hul,V,O
61,{d}x-...-da,NE,PN
62,ki,N,O
62,nin-x-ab-ba,NE,PN
63,1(disz),NU,O
63,{gesz}ba-an,N,O
63,lugal,N,O
64,nu-banda3-gu4,N,O
64,lugal-x-x-ni,NE,DN
65,geme2-{d}nin-tu,NE,PN
66,dingir-szu-sipa,NE,PN
67,3(disz),NU,O
67,ARAD2-da-am3,NE,PN
68,1(asz@c),NU,O
68,udu,N,O
69,kiszib3,N,O
69,ur-{d}szara2-i3-zu,NE,PN
70,szunigin,N,O
70,2(ban2),N,O
70,6(disz),NU,O
70,sila3,N,O
70,kasz,N,O
70,szunigin,N,O
70,2(ban2),N,O
70,4(disz),NU,O
70,sila3,N,O
70,ninda,N,O
71,{d}nin-ezem-an-na,NE,PN
72,ma-li-a,NE,PN
73,2(u),NU,O
73,1(disz),NU,O
73,masz2,N,O
74,ki,N,O
74,ur-{d}AB-...,NE,PN
75,9(bur3),N,O
75,2(esze3),N,O
75,1(iku),N,O
75,GAN2,N,O
75,nigin8-e2-banszur,NE,FN
76,5(disz),NU,O
76,x,N,O
76,...,V,O
76,a-li2-ih,NE,PN
77,...,O,O
77,gu4,N,O
77,gesz-du3,N,O
78,8(disz),NU,O
78,sila3,N,O
78,4(disz),NU,O
78,gin2,N,O
78,{d}szul-gi-iri(GA2),NE,PN
78,u3,CNJ,O
78,{d}szul-gi-si2-im-tum-ma,NE,PN
79,ugula,N,O
79,ur-lu2-ka,NE,PN
80,bar-ra-AN,NE,PN
81,ur-ab-zu,NE,PN
81,sukkal,N,O
82,dumu,N,O
82,e2-bil4-le,NE,PN
82,kuruszda,N,O
83,2(asz),NU,O
83,du,V,O
83,nin-nin9-ra-ki-ag2,NE,PN
84,a-ha-am-ar-szi,NE,PN
84,alan-da,N,O
84,gen-na,V,O
85,kiszib3,N,O
85,dingir-inim-si-sa2,NE,PN
86,1(barig),N,O
86,ARAD2-hul3-la-ka,NE,PN
86,simug,N,O
87,3(u),NU,O
87,1(disz),NU,O
87,kir11,N,O
87,szimaszgi,N,O
88,igi-{d}anzu2{muszen}-da,NE,PN
89,a-sza3,N,O
89,e2-da-tug2,NE,FN
90,geme2-e-bar-ga2,NE,PN
91,ki,N,O
91,hu-lu-ur2,NE,PN
92,ugula,N,O
92,lu2-{d}...,NE,PN
93,2(asz),NU,O
93,2(barig),N,O
93,...-en,NE,PN
94,dumu,N,O
94,lu2-ku3-nun,NE,PN
95,dumu,N,O
95,nin-e-zu,NE,PN
96,1(barig),N,O
96,sze-ba,N,O
96,|PU3.SZA|-ma-ma-kam,NE,PN
97,ki,N,O
97,ur-akkil,NE,PN
98,2(asz),NU,O
98,ur-pu2-mun-na,NE,PN
99,1(disz),NU,O
99,ku-ru-ub-er11,NE,PN
100,nin-di-ku5,NE,PN
101,2(barig),N,O
101,{d}en-lil2-la2-sa6-ga,NE,PN
101,engar,N,O
102,lu2-gi-na-kam,NE,PN
103,a-ab-u5-un,NE,PN
104,x-ba-zi,NE,FN
104,nibru{ki}-sze3,NE,SN
105,kiszib3,N,O
105,{d}x-igi-bar,NE,PN
106,ur2-ku3,NE,PN
106,engar,N,O
107,2(barig),N,O
107,3(ban2),N,O
107,{d}szul-gi-kalam-ma-hi-li-bi,NE,PN
108,dam,N,O
108,lum-za-tur,NE,PN
109,1(bur3),N,O
109,1(esze3),N,O
109,5(iku),N,O
109,1/2(iku),N,O
109,GAN2,N,O
109,saga,V,O
110,geme2-{d}na-ru2-a,NE,PN
110,szu,N,O
110,ba-ti,V,O
111,gu2,N,O
111,i7,N,O
111,u3-sur-ma2-gur8-ra,NE,WN
112,ki,N,O
112,i-mi-id-dingir,NE,PN
113,ki,N,O
113,ur-bar,NE,PN
114,ki,N,O
114,bu3-{d}da-gan,NE,PN
115,ki,N,O
115,ul-ma-szi-tum,NE,PN
116,2(asz),NU,O
116,2(barig),N,O
116,szu-gu-...,NE,PN
117,2(disz),NU,O
117,masz2-gal,N,O
117,niga,V,O
117,gu4-e-us2-sa,N,O
118,lugal-tur-tur,NE,PN
119,lu2-ib-gal,NE,PN
119,sukkal,N,O
119,gaba-ta,N,O
120,kiszib3,N,O
120,szu-im-mi-NI,NE,PN
121,ur-sila,NE,PN
122,aga3-us2,N,O
122,lugal,N,O
122,ki,N,O
122,u2-tar,NE,PN
122,gen-na,V,O
123,mu,N,O
123,bad3-gal,N,O
123,ba-du3,V,O
124,3(disz),NU,O
124,a-la-ap-ri2-x,NE,PN
125,mu-kux(DU),N,O
125,lu2-a-a,NE,PN
125,sanga,N,O
126,giri3,N,O
126,e2-bur3,NE,PN
127,lugal-{d}pirig3,NE,PN
127,...,O,O
127,gu4,N,O
127,x,O,O
128,ki,N,O
128,nin-du11-ga,NE,PN
129,mu,N,O
129,us2-sa,V,O
129,ba-ki-lum,NE,PN
129,{d}inanna,NE,DN
129,ba-hun,V,O
130,kiszib3,N,O
130,hu-nu-nu-lu,NE,PN
130,dub-sar,N,O
131,1(gesz2),NU,O
131,3(u),NU,O
131,6(disz),NU,O
131,sar,N,O
131,...,O,O
131,al,N,O
131,n,NU,O
131,sar-ta,N,O
132,1(disz),NU,O
132,id-gur2,N,O
132,i3,N,O
132,nin-a2-ge6-ni,NE,PN
133,sipa-sag10,NE,PN
134,ugula,N,O
134,i-bi2-{d}isztaran,NE,PN
134,kuruszda,N,O
135,3(asz),NU,O
135,du,V,O
135,szu-e2-a,NE,PN
136,gi-ra-num2,N,O
136,{d}inanna,NE,DN
137,lugal-tug2,NE,PN
138,dumu,N,O
138,ur-li9-si4-na,NE,PN
138,szusz3,N,O
139,ugula,N,O
139,engar-ba-ni,NE,PN
140,1(disz),NU,O
140,lugal-sag3-ga,NE,PN
141,kiszib3-bi,N,O
141,2(disz),NU,O
141,kiszib3,N,O
141,igi-a-zi,NE,PN
142,1(disz),NU,O
142,bar-ni-nagar,NE,PN
143,giri3,N,O
143,{d}nansze-i3-sa6,NE,PN
144,dumu,N,O
144,igi-du-bi,NE,PN
145,kiszib3,N,O
145,ha-ba-{d}szara2-gin7,NE,PN
146,1(ban2),N,O
146,2(disz),NU,O
146,gin2,N,O
146,en-di-ne,NE,PN
147,ki,N,O
147,ma2-ku,NE,PN
148,ugula,N,O
148,ur-{gesz}geszimmar,NE,PN
149,4(disz),NU,O
149,sila3,N,O
149,{d}ig-alim-i3-sa6,NE,PN
150,me-ku-ru-a,NE,PN
151,sza3-dingir,NE,PN
151,umma{ki},NE,SN
152,...,O,O
152,ur-temen-na,NE,PN
153,2(asz),NU,O
153,1(barig),N,O
153,3(ban2),N,O
153,sze,N,O
153,gur,N,O
153,ki,N,O
153,a-du-mu,NE,PN
154,2(disz),NU,O
154,geme2-{d}szara2,NE,PN
155,4(disz),NU,O
155,{gesz}erin,N,O
155,...,O,O
156,sze,N,O
156,hu-ru-ba-x,NE,FN
156,mu-kux(DU),N,O
157,giri3,N,O
157,za-na-ti,NE,PN
158,kiszib3,N,O
158,ur-gi-bar,NE,PN
159,8(disz),NU,O
159,masz2-gal,N,O
159,niga,V,O
160,...-AD-AN-x-MI,NE,PN
160,sukkal,N,O
160,gaba-ta,N,O
161,bi2-na-tum,NE,PN
162,ki,N,O
162,lugal-dingir-ni,NE,PN
163,mu,N,O
163,us2-sa,V,O
163,mu-ki-isz{ki},NE,GN
163,ba-hul,V,O
164,nir-i3-da-gal2,NE,PN
165,e2-duru5,N,O
165,gesz-da,NE,GN
166,szu-da,NE,PN
167,u3,CNJ,O
167,a-sza3,N,O
167,i7,N,O
167,a-{d}nin-tu,NE,WN
168,nig2-dab5,N,O
168,gesz-kin-ti,N,O
168,ki,N,O
168,bur-na-zu,NE,PN
169,ki,N,O
169,A2-ga-ga,NE,PN
170,ki,N,O
170,gab2-us2-bi,NE,PN
171,ur-ge6-par4-ra,NE,PN
171,nu-banda3,N,O
172,2(barig),N,O
172,3(ban2),N,O
172,kur-at-i3-li2,NE,PN
173,nin9-da-da,NE,PN
174,giri3,N,O
174,szesz-szesz,NE,PN
174,szar2-ra-ab-du,N,O
175,giri3,N,O
175,er3-ra-ba-ni,NE,PN
176,mu,N,O
176,{d}en-lil2-he2-ti,NE,PN
177,{d}utu-ma-an-sum,NE,PN
178,2(barig),N,O
178,naga,N,O
178,si-e3,V,O
179,mu,N,O
179,ur-{d}gilgamesx(|BIL3.GA.MES|)-ka,NE,PN
180,2(asz),NU,O
180,saga,V,O
180,ba-ka,NE,PN
181,1(disz),NU,O
181,udu,N,O
181,niga,V,O
181,{d}gu-la-ka,NE,DN
182,nig2-dab5,N,O
182,aga3,N,O
182,lugal,N,O
182,ki,N,O
182,er3-ra-ku-ra-at,NE,PN
183,igi,N,O
183,ama-mu-ma-gan,NE,PN
184,lugal,N,O
184,ad-da{ki},NE,GN
184,gara2-szum{ki},NE,GN
185,dumu,N,O
185,sag-ga2-na,NE,PN
186,4(disz),NU,O
186,{gesz}pesz3,N,O
186,sze-er-gu,N,O
186,ku3-bi,N,O
186,igi-4(disz)-gal2,NU,O
186,3(disz),NU,O
186,sze,N,O
187,1(u),NU,O
187,5(disz),NU,O
187,udu,N,O
187,u2,N,O
187,bar-su-ga,V,O
188,ama-ba-a,NE,PN
188,gu-za-la2,N,O
189,dumu,N,O
189,u-ha-a,NE,PN
189,szusz3,N,O
190,3(disz),NU,O
190,kuruszdax(KWU822),NE,PN
191,in-sa6-sa6-x,NE,PN
192,ki,N,O
192,{d}utu-maszkim,NE,PN
193,dam,N,O
193,er3-ri-ib2,NE,PN
194,nig2-gur11,N,O
194,geme2-{d}BI,NE,PN
194,ensi2,N,O
194,umma,NE,SN
195,ki,N,O
195,na-ni,NE,PN
196,...,O,O
196,ur-{d}lugal-x,NE,PN
197,amar-x-x,NE,PN
197,szu,N,O
197,ba-ti,V,O
198,3(u),NU,O
198,5(disz),NU,O
198,u8,N,O
198,1(gesz2),NU,O
198,1(u),NU,O
198,1(disz),NU,O
198,udu,N,O
199,mu,N,O
199,la-bi,NE,PN
200,ki,N,O
200,wa-szi-nun-na,NE,PN
201,ki,N,O
201,GAN2-GAN2-mu-e3,NE,PN
202,USZ-a-a,NE,PN
203,a2-ba-a,NE,RN
204,2(disz),NU,O
204,ma-an-ki-{d}szul-gi,NE,PN
205,i3,N,O
205,e2-ga,N,O
206,nimgir-inim-gi-na,NE,PN
206,szu,N,O
206,ba-ti,V,O
207,a-sza3,N,O
207,tuku-U-e-gar-ra,NE,FN
208,igi-6(disz)-gal2,NU,O
208,1(u),NU,O
208,5(disz),NU,O
208,sze,N,O
208,apin-la2,N,O
208,...-ke4-zu,NE,PN
208,szuku,N,O
208,e2-hi-li-i3-du3,NE,PN
208,gab2-ra,N,O
209,giri3,N,O
209,ur-szem5-ku3-ga,NE,PN
209,gu-za-la2,N,O
210,lugal-kul-aba4,NE,PN
210,maszkim,N,O
211,ki,N,O
211,e2-a-i3-li2-ka,NE,PN
212,3(disz),NU,O
212,gi,N,O
212,kid,N,O
212,titab2,N,O
213,nig2-dab5,N,O
213,{kusz}suhub2,N,O
213,szar3,V,O
213,ki,N,O
213,ur-{d}zabala3{ki},NE,PN
214,dumu,N,O
214,ur-{d}sag-ku5,NE,PN
214,szusz3,N,O
215,1(barig),N,O
215,nin-sza3-an-na-ke4-ba-du10,NE,PN
216,igi,N,O
216,lugal-ad-al-ra-ni,NE,PN
217,pesz2-tur-iri-da,NE,PN
217,na-gada,N,O
218,mu-kux(DU),N,O
218,{d}lugal-urub{ki},NE,DN
218,|KI.AN|{ki},NE,SN
219,2(asz),NU,O
219,2(barig),N,O
219,en-nam-szita4-{d}szul-gi-ke4-ba-gub,NE,PN
220,dumu,N,O
220,nin-ga2-ni-zi,NE,PN
221,ki,N,O
221,{d}nanna-lu2-AH,NE,PN
222,kiszib3,N,O
222,PI-ti-na-ri,NE,PN
222,sukkal,N,O
223,dumu,N,O
223,{d}en-ki-an-dul3,NE,PN
224,1(bur3),N,O
224,x,O,O
224,x,O,O
224,GAN2,N,O
224,...,O,O
225,ki,N,O
225,a-lu5-ni,NE,PN
226,1(disz),NU,O
226,sila4,N,O
226,a-a-{d}nanna-ar-kal-la,NE,PN
226,sukkal,N,O
226,Kir-ra,NE,SN
227,lugal-zi-x-mu,NE,PN
228,ur-{d}lugal-eden,NE,PN
228,nu-banda3,N,O
229,2(barig),N,O
229,3(ban2),N,O
229,a-kiri3-zal,NE,PN
230,lugal,N,O
230,sza-bar-ba-la-az{ki},NE,GN
230,szar-ru-szar{ki},NE,GN
231,ki,N,O
231,lugal-aga,NE,PN
232,nigin9,NE,FN
233,ki,N,O
233,nin-me-me-an-ki,NE,PN
233,giri3,N,O
233,szu-nir-gal,NE,PN
234,ap-ki-da,NE,PN
235,{d}nin-e2-kisal-libir,NE,PN
236,3(u),NU,O
236,la2,V,O
236,1(disz),NU,O
236,x,O,O
236,ku6,N,O
236,NIG2,N,O
237,nin-DUB-ma-zi,NE,PN
238,ugula,N,O
238,sza3-ku3-ge,NE,PN
239,9(bur3),N,O
239,2(esze3),N,O
239,1(iku),N,O
239,GAN2,N,O
239,a-gesztin-dab5-ba,NE,FN
240,1(disz),NU,O
240,...,O,O
240,e2,N,O
240,{d}dumu-zi-kam,NE,DN
241,ki,N,O
241,ur-{d}a-du10,NE,PN
242,a-sza3,N,O
242,GAN2-lugal,NE,FN
243,kiszib3,N,O
243,a-mi-ir-{d}szul-gi,NE,PN
244,ki,N,O
244,{d}samanx(|SUD.NUN.SZE.SZE3|)-x-ba-an-zi,NE,PN
245,nin-me-kal-la,NE,PN
246,2(barig),N,O
246,szuku,N,O
246,diri,V,O
246,ma2,N,O
246,hun-ga2,V,O
246,a-ab-ba-ka,NE,PN
247,6(asz),NU,O
247,gur,N,O
247,kiszib3,N,O
247,ne-be2-er-{d}szul-gi,NE,PN
248,mu,N,O
248,ur-bi-x,NE,PN
249,giri3,N,O
249,ur-ha-ia3,NE,PN
250,gesz-kesz2,N,O
250,{d}zabala3{ki},NE,DN
251,sagi-e-ne,NE,PN
252,ki,N,O
252,ri-ha-ni-x,NE,PN
253,2(disz),NU,O
253,PA-ba-lu2-ba,NE,PN
253,dumu,N,O
253,pa-lagab-pa-lagab-ba,NE,PN
254,giri3,N,O
254,{d}ha-la,NE,PN
255,1(u),NU,O
255,6(disz),NU,O
255,gurusz,N,O
255,u4,N,O
255,1(disz)-sze3,NU,O
256,giri3,N,O
256,dingir-igi-sze3-du,NE,PN
257,ku3-bi,N,O
257,1(u),NU,O
257,2(disz),NU,O
257,sze,N,O
258,3(disz),NU,O
258,lu2-KA-x-x,NE,PN
259,kiszib3,N,O
259,sza-esz18-dar,NE,PN
259,nu-banda3,N,O
259,szu-ku6,N,O
260,zu-szim,NE,PN
261,ki,N,O
261,a-ba-an-ne2-se3-ge,NE,PN
262,1(asz),NU,O
262,1(barig),N,O
262,bu3-bu3-bi,NE,PN
263,dumu,N,O
263,la-ap-hi,NE,PN
264,en-ni-da-a-gu-um,NE,PN
265,giri3,N,O
265,2(ban2@c),NE,PN
266,ki,N,O
266,geme2-{d}lamma-ba-ti,NE,PN
267,e2-usz-bar,NE,PN
268,{d}nisaba-zi-mu,NE,PN
269,1(disz),NU,O
269,{munus}asz2-gar3,N,O
270,ki,N,O
270,ur-{d}nin-ku3-nun-na,NE,PN
271,kiszib3,N,O
271,...-dam-us2,NE,PN
272,kiszib3,N,O
272,ha-la-{d}lamma,NE,PN
273,kiszib3,N,O
273,inim-AN-KA,NE,PN
274,ki,N,O
274,szi-lu5-lu5,NE,PN
275,1(gesz2),NU,O
275,sze,N,O
275,i3-szah2,N,O
275,gur,N,O
276,ki,N,O
276,a-a-ri2-mu,NE,PN
276,dumu,N,O
276,{d}nun-gal-ka,NE,PN
277,guru7,N,O
277,szu2-du8-du,NE,FN
278,ki,N,O
278,mi-za-nim,NE,PN
279,a-sza3,N,O
279,a-gur8,NE,FN
280,1(gesz2),NU,O
280,gurusz,N,O
280,ugula,N,O
280,nig2-{d}sudx(|SU.KUR|)-da,NE,PN
281,giri3,N,O
281,lugal-i3-bi2-la,NE,PN
282,1/2(disz),NU,O
282,masz-li-lum,NE,PN
283,giri3,N,O
283,iri-sze3-kusz2,NE,PN
284,2(u),NU,O
284,4(asz),NU,O
284,1(barig),N,O
284,4(ban2),N,O
284,5(disz),NU,O
284,sila3,N,O
284,gig,N,O
284,gur,N,O
284,lugal,N,O
285,dumu,N,O
285,ugu2-du6,NE,PN
286,ugula,N,O
286,{d}nirah{ir-ha}-UD-sza-DU,NE,PN
287,lugal-u4-da,NE,PN
287,dumu,N,O
287,lugal-u4-da-u2,NE,PN
288,da-ti-esz18-dar,NE,PN
288,szu,N,O
288,ba-ti,V,O
289,mu,N,O
289,ur-szu-gu-la,NE,PN
290,1/2(disz),NU,O
290,i3-di3-er3,NE,PN
291,a-ri2-bi,NE,PN
292,kiszib3,N,O
292,nin-si-par4,NE,PN
293,nam-mah-e2-ki,NE,PN
293,sagi,N,O
293,maszkim,N,O
294,NE-NE,NE,PN
295,giri3,N,O
295,ur-en-nun,NE,PN
296,1(asz),NU,O
296,saga,V,O
296,ki-in-{d}szul-gi,NE,PN
297,nin-zi-an-ka,NE,PN
298,2/3(disz),NU,O
298,gin2,N,O
298,1(u),NU,O
298,5(disz),NU,O
298,sze,N,O
298,apin-la2,N,O
298,a-bi2-ba-ni,NE,PN
298,dumu,N,O
298,a-a-...,NE,PN
299,ta2-din-{d}inanna,NE,PN
299,x-x,O,O
300,3(disz),NU,O
300,lugal-dingir-re-KA,NE,PN
301,lugal,N,O
301,a-za-ru-um{ki},NE,GN
301,usz-lu,NE,GN
302,3(asz),NU,O
302,ur-dub:szen,NE,PN
303,{d}en-lil2-i3-sa6,NE,PN
304,szu-igi-isz-du-{d}en-ki,NE,PN
305,ki,N,O
305,ul4-ul4{ki},NE,PN
306,dumu,N,O
306,ur-...,NE,PN
307,ki-la2-bi,N,O
307,6(disz),NU,O
307,1/2(disz),NU,O
307,ma-na,N,O
307,8(disz),NU,O
307,gin2,N,O
308,...,O,O
308,gal-zu-da-ri2,NE,PN
309,nin-zabala{ki},NE,PN
310,|PU3.SZA|-ha-ni,NE,PN
310,sukkal,N,O
310,gaba-asz,N,O
311,i7,N,O
311,gibil,V,O
311,i7-KA-e3,NE,WN
312,{d}szul-gi-a-ra-ab-kalam-ma,NE,PN
313,x,O,O
313,bi2-za-za,NE,PN
314,ur-mes-a,NE,PN
315,kiszib3,N,O
315,an-ne2-kusz2,NE,PN
316,giri3,N,O
316,szu-{d}iszkur,NE,PN
317,3(iku),N,O
317,GAN2,N,O
317,4(barig),N,O
317,lugal-GAN2-x,NE,PN
318,2(disz),NU,O
318,{gi}pisan,N,O
318,1(asz),NU,O
318,gur,N,O
318,gid2-bi,N,O
318,8(disz),NU,O
318,kusz3-ta,N,O
319,lugal,N,O
319,susa{ki},NE,GN
319,isz-zu{ki},NE,GN
320,mu,N,O
320,us2-sa,V,O
320,ba-lu-e{ki},NE,GN
320,ba-hul,V,O
321,hu-la-al,NE,PN
322,ki,N,O
322,har-tu,NE,PN
323,ugula,N,O
323,sanga,N,O
323,ti(BAL)-ra-asz2,NE,TN
324,da-ga-za-na-ar,NE,PN
324,szu,N,O
324,ba-ti,V,O
325,ki,N,O
325,a-gu-a-mu,NE,PN
326,2(disz),NU,O
326,ARAD2-ma-...,NE,PN
326,dumu,N,O
326,ARAD2-sag-KIN,NE,PN
327,kiszib3,N,O
327,sag-ku3-ga,NE,PN
328,ur-sal-LAGAB-x,NE,PN
328,lu2,N,O
328,kas4,N,O
329,a2-bi,N,O
329,2(gesz'u),NU,O
329,1(u),NU,O
329,6(disz),NU,O
329,2/3(disz)-kam,NU,O
330,{d}nin-nun-lil2,NE,DN
331,1(disz),NU,O
331,gin2,N,O
331,ku3-babbar,N,O
331,e2-munus-gil-sa,NE,PN
332,lugal-ukken-ne2,NE,PN
333,kiszib3,N,O
333,dingir-gu2,NE,PN
334,2(disz),NU,O
334,nin-er2-re2,NE,PN
335,szar-ka3-li2-lugal-ri2,NE,PN
336,7(asz),NU,O
336,2(barig),N,O
336,mu,N,O
336,ur-{d}nin-gubalag-ga,NE,PN
337,lugal,N,O
337,ur-bi2-lum{ki}-ka,NE,GN
337,za-ba-sza-li{ki},NE,GN
338,{d}utu-ur-sag,NE,PN
339,ur-{d}nin-sa-za,NE,PN
339,sukkal,N,O
339,gaba-ta,N,O
340,er3-zu-dan,NE,PN
341,...,O,O
341,1(asz),NU,O
341,2(ban2),N,O
341,5(disz),NU,O
341,sila3,N,O
341,{d}asz3-ki-la-ba,NE,PN
342,1(ban2),N,O
342,5(disz),NU,O
342,EN,NE,PN
343,ki,N,O
343,ansze-dab5,NE,PN
344,2(gesz2),NU,O
344,gur,N,O
344,a-sza3,N,O
344,uku2-nu-ti,NE,FN
345,{d}ul-ma-szi-tum,NE,DN
346,1(disz),NU,O
346,ha-ta-luh-luh,NE,PN
346,dumu,N,O
346,AB-a2-sun2,NE,PN
346,i3-li2-na-pi5-isz-ti,NE,PN
347,4(disz),NU,O
347,nagar-me,N,O
348,giri3,N,O
348,bi2-bi2-a,NE,PN
348,sukkal,N,O
349,...,O,O
349,|PU3.SZA|-szu-u2-da,NE,PN
349,dumu,N,O
349,|PU3.SZA|-...,NE,PN
350,kiszib3,N,O
350,ur-nim,NE,PN
351,...,O,O
351,5(ban2),N,O
351,ziz2,N,O
351,i3-li2-{d}lamma,NE,PN
352,3(asz),NU,O
352,saga,V,O
352,szu-mi-in-ni,NE,PN
353,3(disz),NU,O
353,i3-li2-mi-la-ad,NE,PN
354,kiszib3,N,O
354,za3-sze3-la2,NE,PN
355,ki,N,O
355,i7-de3-ba-du7,NE,PN
356,mu,N,O
356,sze-er-ha-num2-ma,NE,PN
356,ba-hun,V,O
357,1(disz),NU,O
357,sila4,N,O
357,mu-lah5,NE,PN
357,sukkal,N,O
357,Kir-ra,NE,SN
358,ur-{d}nin-gubalag,NE,PN
359,giri3,N,O
359,{d}amar-suen,NE,PN
360,mu,N,O
360,us2-sa,V,O
360,asz-gi4{ki},NE,GN
360,ba-hul,V,O
361,mu,N,O
361,ma2,N,O
361,{d}inanna-ke4-ne,NE,DN
361,ba-ab-du8,V,O
362,kiszib3,N,O
362,mu-da-ba-ni-lum,NE,PN
363,lugal-sza3-la2,NE,PN
363,ugula,N,O
363,kuruszda,N,O
364,1(esze3),N,O
364,GAN2,N,O
364,1(asz),NU,O
364,2(barig),N,O
364,3(ban2),N,O
364,ama-iri,NE,PN
365,2(disz),NU,O
365,ba-zi-ki,NE,PN
366,bala,N,O
366,e-te-il-{d}isz-bi-er3,NE,PN
367,nig2-ba,N,O
367,lal3-ama-ra-zu,NE,PN
368,1(gesz2),NU,O
368,udu,N,O
368,ki,N,O
368,ur-...-musz,NE,PN
369,ki,N,O
369,lu2-{d}szul-gi-ka,NE,PN
370,giri3,N,O
370,lugal-szesz-x,NE,PN
370,lu2,N,O
370,kin-gi4-a,N,O
370,lugal,N,O
371,ki,N,O
371,ga-lu5-da,NE,PN
372,3(disz),NU,O
