,Text,NER
469, '{d}szul-gi-ta-lu2',PN
470, '{d}szul-gi-tesz2',PN
471, '{d}szul-gi-zi-kalam-ma',PN|FN
472, 'ur-{d}nisaba',PN
473, 'ur2-nig2-du10',PN
474, 'e2-sa6-ga',PN
475, '{d}nin-ki-mug',PN
476, '{d}ba-ba6-na',DN
477, 'a-a-kal-la',PN
478, 'sa6-dingir-zu',PN
479, 'nigar{gar}-ki-du10',PN
480, '{d}nin-da-lagasz{ki}',GN
481, 'ur-dur9{ur3}',PN
482, '{d}nin-ur4',PN
483, 'ur-ab-ba-gi-na',PN
484, 'la-a-a-mu',PN
485, 'nin-a-na',PN
486, 'nig2-{d}ba-ba6',PN
487, 'ur-{d}nin-tu',PN
488, 'ur-{d}nu-musz-da',PN
489, '{d}utu-...',PN
490, '{d}szara2-igi-du',PN
491, 'ur-{d}igi-zi-bar',PN
492, 'bi2-da',PN
493, 'a-da-lal3',PN
494, '{d}er3-ra-ba-ni',PN
495, 'e-la-i3-li2',PN
496, 'ba-gara2',PN|TN|FN
497, '{d}utu-ug3',PN
498, 'gu-na-na',PN
499, 'ur-{d}ma-an-isz-ti-su',PN
500, 'en-nu',PN
501, 'dan-u2-pi2',PN
502, 'ur-{d}ku3-nun-na',PN
503, 'szesz-a-DU-nu2',PN
504, '{d}szara2-mu-DU',PN
505, '{gesz}gigir-re',PN
506, '{d}utu-bi2-du11',PN
507, 'inim-{d}utu',PN
508, 'szesz-sag10',PN
509, 'lu2-bi-mu',PN
510, 'ur-{d}da-mu',PN
511, 'lugal-a2-ga',PN
512, 'lugal-im-ru-a',PN
513, 'lugal-KA',PN
514, 'gu-du-gu-du',PN
515, 'ti-e2-mah',PN
516, 'ur-x-x',PN
517, 'ur-{d}inanna-unu{ki}',PN
518, '{d}szara2-a-mu',PN
519, 'a-na-ti',PN
520, 'er2-kal-la',PN
521, 'geme2-x-...',PN
522, 'i-din-{d}er3',PN
523, 'la-gi-ip',PN
524, 'tab-be-li2',PN
525, 'lugal-nir-gal2',PN
526, 'er3-re-eb',PN
527, 'engar-zi',PN
528, 'ur-{d}asznan',PN
529, '{d}amar-en-zi-mu',PN
530, '{d}amar-{d}suen-ha-ma-ti',PN
531, '{d}ba-ba6-i3-zu',PN
532, '{d}szara2-ba-an-zi-ge',PN
533, '{d}amar-{d}suen-x-gi-sza',PN
534, 'ur-am3-ma',PN
535, 'al-ba-ni-du11',PN
536, 'geme2-...',PN
537, 'geme2-zikum-ma',PN
538, 'lu2-sa6-mu-zu',PN
539, 'nin-a-zu',PN|DN
540, 'nin-ga2-al-ga',PN
541, 'nin-geme2-dumu-ni',PN
542, 'nin-hi-li',PN
543, 'nin-lu2-sa6-sa6',PN
544, 'nin-u2-szim',PN
545, 'ur-{d}szakkan2',PN
546, '{d}ba-ba6-ku3-zu',PN
547, 'a-du',PN
548, 'a2-na-na',PN
549, 'AN-...',PN|FN
550, 'ARAD2-...',PN
551, 'ku-li',PN
552, 'lu2-gir2-nun',PN
553, 'lu2-{d}gesz-bar-e3',PN
554, 'ur-zikum-ma',PN
555, '{d}utu-sa6-ga',PN
556, 'lu2-ma2-gan{ki}',PN
557, 'lu2-{d}nin-ur4',PN
558, 'ur-e2-an-na',PN|FN
559, 'usz-mu',PN
560, 'u2-da-ur4',PN
561, 'a-sa6',PN
562, 'ur-x-x-mi',PN
563, 'ur-{d}pa4-DU',PN
564, 'a-hu-du10',PN
565, 'ba-zu-zu',PN
566, 'da-ha-sze-en6',PN
567, 'szu-er3',PN
568, '|PU3.SZA|-{d}iszkur',PN
569, 'e2-a-lu2-bi',PN
570, '{d}dumu-zi-da',DN
571, 'lugal-nesag',PN
572, '{d}en-lil2-la2',PN|DN|FN
573, 'i-szar-ru-um',PN
574, 'dingir-a2-dah',PN
575, '{d}gu-la',DN
576, 'nin-a2-zi-da',PN
577, 'ur-szar2-ur3',PN
578, 'al-la-x',PN
579, 'lu2-{d}nanna',PN
580, '{gesz}ma-nu',FN
581, 'ba-zi-ge',PN
582, 'a-hu-ni',PN
583, 'lu2-{d}nagar-pa-e3',PN
584, '{d}EN-...',PN
585, 'ki-sur-ra{ki}',PN
586, 'ur-{d}a-zi-mu2-a',PN
587, 'sirara6',GN
588, '{d}nin-zabala3{ki}',DN
589, 'a-pi4-sal4{ki}',GN
590, '{d}utu-ba-e3',PN
591, 'iri-ni-kisz{ki}',GN
592, 'ur-{d}esz3-du10-nun',PN
593, 'ka5-a',PN
594, 'ur-tesz2',PN
595, 'lugal-di-ne',PN
596, 'lugal-{d}anzu2{muszen}',PN
597, 'en-in-na-dan',PN
598, 'i7-idigna',WN
599, 'lu2-{d}szul-gi',PN
600, 'HI-da',PN
601, 'a-ab-ba',PN
602, 'lu2-eb',PN
603, '{d}nanna-lugal',PN
604, 'x-kam',DN
605, 'lugal-inim-du10-ga',PN
606, 'giri3-ne2-i3-sa6',PN
607, 'lugal-mar-du2',PN
608, 'ur-ge6-par4',PN
609, 'ur-sila-luh',PN
610, '{d}szara2-ba-zi-ge',PN
611, 'ab-ba-ne-ne',PN
612, 'eren2',GN
613, '{d}utu-ba-an-e3',PN
614, 'e2-pa-e3',PN
615, 'a-ah-kal-la',PN
616, 'a-da-a',PN
617, 'a-da-da',PN
618, 'a-gu',PN
619, 'a-hu-ba-qar',PN
620, 'a-hu-ki-in',PN
621, 'da-da',FN
622, 'e2-nig2-IL2',FN
623, 'en-nu-{d}nin-gesz-zi-da',FN
624, 'gibil',FN
625, 'kur-bi2-lu',FN
626, 'lal3-ha-gu-la',FN
627, 'nin-hi-li-su3',PN|FN
628, 'nirx(|MIR.ZA|)',FN
629, 'a-tu-kal-la',PN
630, 'lu2-e2-an-ka',PN
631, 'ur-esz3-lil2-la2',PN
632, 'lu2-e2-an-na',PN
633, 'lu2-{d}nin-mar{ki}',PN
634, 'ab-ba-iri',PN
635, 'sipa',FN
636, 'ab-ba-mu',PN
637, 'ab-ba-sa6-ga',PN
638, 'ad-da-mu',PN|FN
639, 'KA-sa-NE',PN
640, 'szesz-...',PN
641, 'al-la-ba-an-zi',PN
642, 'ama-il2',PN
643, 'AN-sa6-lagar-PA-GAD-sag',PN
644, 'ARAD2-dam',PN
645, 'ARAD2-{d}ba-ba6',PN
646, 'ARAD2-{d}nansze',PN
647, 'ASZ',PN
648, 'ba-a-ga',PN
649, 'ba-ra-e11-de3',PN
650, 'ba-sa6-ga',PN
651, 'ba-ta-...',PN
652, 'ba-i',PN
653, 'sza3-ga-du11-ga',PN
654, 'bar-ni-nagar',PN
655, 'bar-ra-an',PN
656, 'da-gu',PN
657, 'gu3-de2',PN
658, 'dingir-ba-e3',PN
659, 'dingir-re-i3-zu',PN
660, 'du-u2-du-bi',PN
661, 'du11-ga-zi-da',PN
662, 'du11-ga-ni-zi',PN|FN
663, 'du11-ga-ni-...',PN
664, '{d}nin-gir2-su',DN
665, '{d}nun-gal',DN
666, 'e2-dar-gi4-ni',PN
667, 'gir4-u',GN|FN
668, 'e2-hi-li',PN
669, 'sze-me-ha{ki}',GN
670, 'e2-zi',PN
671, 'e2-...',PN
672, 'e2-he2-gal2',PN
673, 'giri3-ni-i3-sa6',PN
674, 'en-i3-na-kal',PN
675, 'en-sza3-ga-na',PN
676, 'er3-{d}ba-ba6',PN
677, 'ga-la-la',PN
678, 'gab2-us2',PN
679, 'geme2-esz3-lil2-la2',PN
680, 'geme2-uru11{ki}',PN
681, 'GIR3',PN
682, 'ur-{d}nin-mug',PN
683, 'hirinx(KWU318)',GN
684, 'a-gu-a',PN
685, 'lugal-ku3-zu',PN|FN
686, 'u2-{d}iszkur',PN
687, '{d}dumu-zi',DN
688, 'a-a-ga',PN
689, 'ga-esz{ki}',GN
690, '{u2}{d}iszkur',PN
691, 'mar-ha-szi{ki}',GN
692, '{d}szara2',TN|DN|FN
693, 'gi-NE',PN
694, 'ha-da-da',PN
695, 'x-da',DN
696, 'lu2-{d}nar-ra-u2',PN
697, 'ma-an-isz-ti-su',PN
698, 'ta',PN
699, 'gam-gam',PN
700, 'sag-da-na',GN
701, 'la2-tur',FN
702, 'ki-nu-nir{ki}',GN
703, 'gu2-ab-ba',GN
704, 'a-ba-{d}szara2-gin7',PN
705, 'a-hu-um',PN
706, 'a-ba-la-sza',PN
707, '{u2}ad2',FN
708, 'ab-ki-du10',PN
709, 'ba-a',PN
710, 'da-PA',PN
711, 'du11-ge',PN
712, 'e2-ki',PN
713, '{d}nin-hur-sag',DN
714, 'i-ri-ib',PN
715, 'e2-gissu',PN
716, 'en-e-ki-ag2',PN
717, 'esz3-ki-du10',PN
718, 'igi-tur-tur',PN
719, 'a-e-bar-ra-ka',GN
720, 'lugal-pa-e3',PN
721, 'giri3-du3',PN
722, 'ha-ha-sza',PN
723, 'igi-sa6',PN
724, 'ur-kisal',PN
725, 'amar-szuba2',PN
726, 'lugal-dur2-du10',PN
727, 'lugal-szuba3',PN
728, 'szu-na-mu-gi4',PN
729, 'ur-{d}mah-di-an',PN
730, 'ur-{d}szu-mah',PN
731, '{d}utu-ki-ag2',PN
732, 'ur-e11',PN
733, 'da-a-gi4',PN
734, 'isz-me-lum',PN
735, 'lu2-igi-sa6-sa6',PN
736, 'da-du',RN
737, 'nin-ra-kisal',PN
738, 'szu-kab-da',PN
739, 'ur-lu2-...',PN
740, 'a-ri2-bi',PN
741, 'lu2-e2-sukud-ra2',PN
742, 'lu2-hu-rim3{ki}',PN
743, '{d}hendur-sag',DN
744, 'lu2-i3-zu',PN
745, '{d}da-lagasz{ki}',GN
746, 'lu2-{d}en-lil2-la2',PN
747, 'ur-nu-uh',PN
748, 'za-zi',PN
749, 'lugal-dingir-mu',PN
750, 'lugal-du',PN
751, 'lugal-ku3-ga-ni',PN|FN
752, 'ma2-gin2',PN
753, 'MI-la-szu',PN
754, 'nin-ur2-ra-ni',PN
755, 'a2-gul',PN
756, 'a2-sun2-na',PN
757, 'gu2-ab-ba{ki}',GN
758, 'hu-rim3{ki}',GN|FN
759, 'du-ra-am-i3-li2',PN
760, 'iri-sa12-rig7{ki}',GN
761, 'szu-esz-dar',PN
762, 'szu-ma-ma',PN
763, 'ur-ab-ba-sag10',PN
764, 'ur-tum-al',PN
765, 'ur-{d}gesz-za-mun-na',PN
766, 'da-da-ga',PN
767, '{d}pirig3-an-dul3',PN
768, 'KI-AN{ki}',GN
769, '{d}szara2-a2-dah',PN
770, '{d}szara2-me-a-DU',PN
771, '{d}szu-{d}suen-ki-ag2-{d}szara2',PN
772, '|PU3.SZA|-{d}en-lil2-la2',PN
773, 'ha-ha',PN
774, 'hu-x-...',PN
775, 'i-di3-zu',PN
776, 'i-NI-NI',PN
777, 'i-szar-pa2-dan',PN
778, 'igi-an-na-ke4-zu',PN
779, 'igi-in-DU',PN
780, 'in-hu',PN
781, 'in-zu',PN
782, 'inim-du11',PN
783, 'inim-{d}ba-ba6-i3-dab5',PN
784, 'inim-{d}ba-ba6-zi',PN
785, 'KA-gu',PN
786, 'ka-ku3',PN
787, 'en-{d}nansze-ki-ag2',PN
788, 'mar-sa-asz',PN
789, 'elam',GN
790, 'szesz-szesz',PN
791, '{d}en-um-i3-li2',PN|FN
792, 'lu2-uru11{ki}',PN
793, 'ma-ni',PN
794, 'ur-{d}ha-ia3',PN
795, 'KU-gu-za-na',PN
796, 'ku3-ga-ni',PN
797, 'ku3-{d}nansze',PN
798, 'iri-ki-be2',PN
799, 'nar-sa6-ga',PN
800, 'ur-e2-gu-la',PN
801, 'ku3-ga',PN
802, 'lugal-nanga',PN
803, 'lu2-sa6-i3-zu',PN
